PC,Shock Type,Instrument,Base Price,New Price,Base YTM (%),New YTM (%),Δ Yield (bps),Total P&L ($),Duration P&L ($),Convexity P&L ($),Residual P&L ($)
PC1 – Level,1-sigma,2Y Treasury Note,1000000.0,999144.2103258508,3.4799999999999995,3.524691196333627,4.469119633362731,-855.7896741492441,-856.2555733458958,0.46610297784268323,-0.00020378119102087977
PC1 – Level,1-sigma,10Y Treasury Note,1000000.0,995822.6648865484,4.08,4.131418991236646,5.141899123664515,-4177.335113451583,-4187.68869840978,10.372094835874616,-0.018509877677882258
PC1 – Level,1-sigma,30Y Treasury Bond,1000000.0,992960.8306894312,4.72,4.764333104895135,4.433310489513481,-7039.169310568832,-7075.374971448412,36.34777215230701,-0.14211127272687207
PC1 – Level,1-sigma,5Y Receive-Fixed Swap,0.0,-2467.131960605737,3.65,3.7045076749266133,5.450767492661337,-2467.131960605737,-2470.6666718597276,3.5384444315750723,-0.0037331775843365556
PC1 – Level,2-sigma,2Y Treasury Note,1000000.0,998289.3516356045,3.4799999999999995,3.569382392667255,8.938239266725532,-1710.6483643954853,-1712.511146691805,1.864411911370762,-0.0016296150510970442
PC1 – Level,2-sigma,10Y Treasury Note,1000000.0,991665.9631172819,4.08,4.182837982473291,10.283798247329099,-8334.036882718094,-8375.377396819616,41.48837934349903,-0.14786524197624118
PC1 – Level,2-sigma,30Y Treasury Bond,1000000.0,985993.5079089061,4.72,4.808666209790271,8.8666209790271,-14006.49209109391,-14150.749942897046,145.3910886092326,-1.1332368060975568
PC1 – Level,2-sigma,5Y Receive-Fixed Swap,0.0,-4927.209405237343,3.65,3.759015349853227,10.901534985322744,-4927.209405237343,-4941.333343719487,14.153777726300468,-0.029839244156683264
PC1 – Level,-1-sigma,2Y Treasury Note,1000000.0,1000856.7218802567,3.4799999999999995,3.4353088036663726,-4.469119633362731,856.721880256664,856.2555733458958,0.46610297784268323,0.00020393292556991627
PC1 – Level,-1-sigma,10Y Treasury Note,1000000.0,1004198.0793537736,4.08,4.0285810087633545,-5.141899123664584,4198.079353773617,4187.688698409836,10.372094835874895,0.018560527905856716
PC1 – Level,-1-sigma,30Y Treasury Bond,1000000.0,1007111.8657067631,4.72,4.6756668951048646,-4.43331048951355,7111.865706763114,7075.374971448523,36.34777215230815,0.14296316228274009
PC1 – Level,-1-sigma,5Y Receive-Fixed Swap,0.0,2474.208855691133,3.65,3.5954923250733866,-5.450767492661337,2474.208855691133,2470.6666718597276,3.5384444315750723,0.00373939983043714
